Citation,Type,Criteria_1,Criteria_2,Criteria_3,Criteria Met
"Wang et al., 2023",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Wang et al., 2023",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Wang et al., 2023",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Watson et al., 2016",DNA Methylation,1,,1,2 - DNA methylation and phenotype
"Wu et al., 2021",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Yang et al., 2020",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Yang et al., 2023",DNA Methylation,1,1,,2 - DNA methylation and gene expression
"Yu et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype "
"Zhang et al., 2017",DNA Methylation,1,,,1 - DNA methylation
"Zhang et al., 2018",DNA Methylation,1,,,1 - DNA methylation
"Zhang et al., 2024",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Zheng et al., 2025",DNA Methylation,1,1,1,"3 - DNA methylation, gene expression, and phenotype"
"Fellous et al., 2015",Histone Modifications,1,1,1,"3 - histone modifications, gene expression, and phenotype"
"Lee et al., 2020a",Histone Modifications,1,1,1,"3 - histone modifications, gene expression, and phenotype"
"Liu et al., 2020",Histone Modifications,1,1,,2 - Histone modifications and gene expression
"Norouzitallab et al., 2016",Histone Modifications,1,1,1,"3 - histone modifications, gene expression, and phenotype"
"Ottaviani et al., 2013",Histone Modifications,1,,,1 - Histone modifications
"Signorini et al., 2023",Histone Modifications,1,,1,2 - histone modifications and phenotype
"Wang et al., 2024",Histone Modifications,1,1,,2 - histone modifications and gene expression
"Weizman et al., 2018",Histone Modifications,1,1,,2 - Histone modifications and gene expression
"Weizman et al., 2021",Histone Modifications,1,1,,2 - Histone modifications and gene expression
"Xu et al., 2022",Histone Modifications,1,1,,2 - histone modifications and gene expression
"Bogan et al., 2023",Multiple,1,1,,"2 - DNA methylation and chromatin accessibility, gene expression"
"Gonzalez-Romero et al., 2017",Multiple,1,1,,"2 - DNA methylation and histone modifications, gene expression"
"Liu et al., 2024",Multiple,1,,,1 - RNA methylation and ncRNA
"Norouzitallab et al., 2014",Multiple,1,1,1,"3 - histone modifications and DNA methylation, gene expression, and phenotype"
"Pestana et al., 2016",Multiple,1,,1,"2 - histone modifications and DNA methylation, and phenotype "
"Rodriguez-Casariego et al., 2018",Multiple,1,,1,"2 - histone modifications and DNA methylation, and phenotype"
"Thaulow et al., 2020",Multiple,1,1,1,"3 - DNA methylation and histone modifications, gene expression, and phenotype"
"Zhang et al., 2022",Multiple,1,,,1 - ncRNA and RNA methylation
"Zhang et al., 2025",Multiple,1,1,,2 - ncRNA and RNA methylation and gene expression
"Annona et al., 2025",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Bao et al., 2020",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Baumgarten et al., 2017",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Biggar et al., 2012",Non-coding RNA,1,,,1 - ncRNA
"Cai et al., 2022",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Cao et al., 2023",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Cerveau and Jackson, 2021",Non-coding RNA,1,,,1 - ncRNA
"Chang et al., 2022",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Chen et al., 2017",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Chen et al., 2019",Non-coding RNA,1,1,,2 - miRNA and gene expression
"Cong et al., 2025",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Détrée et al., 2017",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"English et al., 2018",Non-coding RNA,1,,,1 - ncRNA
"Fu et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Gajigan and Conaco, 2017",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Ge et al., 2025",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Gong et al., 2020",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Gong et al., 2021",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Graham and Barreto, 2018",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Guo et al., 2023",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Hadj-Moussa et al., 2018",Non-coding RNA,1,,,1 - ncRNA
"Han et al., 2022",Non-coding RNA,1,1,,2 - ncRNA and gene expression 
"Han et al., 2022",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Han et al., 2023",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Hao et al., 2023",Non-coding RNA,1,1,,2 - ncRNA and gene expression 
"He et al., 2019",Non-coding RNA,1,,,1 - ncRNA
"He et al., 2024",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Hearn et al., 2018",Non-coding RNA,1,,,1 - ncRNA
"Hou et al., 2024",Non-coding RNA,1,,,1 - ncRNA
"Huang et al., 2019",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Huo et al., 2020",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Huo et al., 2021",Non-coding RNA,1,,,1 - ncRNA
"Huo et al., 2021",Non-coding RNA,1,,,1 - ncRNA
"Huo et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Ibrahim et al., 2023",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Jia and Nie, 2025",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Jie et al., 2025",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Kim et al., 2024",Non-coding RNA,1,1,1,"3 - miRNA, gene expression, and phenotype"
"Li et al., 2016",Non-coding RNA,1,,,1 - ncRNA
"Li et al., 2018",Non-coding RNA,1,,,1 - ncRNA
"Li et al., 2021",Non-coding RNA,1,,,1 - miRNA
"Li et al., 2024",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Li et al., 2025",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Liu et al., 2021",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Liu et al., 2022",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Liu et al., 2024",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Lu et al., 2015",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Lu et al., 2023",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Lyu et al., 2024",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Moreira et al., 2020",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Ning et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Núñez-Acuña et al., 2020",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Ou et al., 2012",Non-coding RNA,1,,,1 - ncRNA
"Ou et al., 2022",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Pan et al., 2021",Non-coding RNA,1,,,1 - ncRNA
"Pereiro et al., 2021",Non-coding RNA,1,,,1 - ncRNA
"Rosani et al., 2020",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Shanggaun et al., 2024",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Shekhar et al., 2019",Non-coding RNA,1,,,1 - ncRNA
"Shen et al., 2022",Non-coding RNA,1,,1,2 - ncRNA and phenotype
"Sun and Feng, 2018",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Sun et al., 2016",Non-coding RNA,1,,,1 - ncRNA
"Tian et al., 2020",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Wang et al., 2018",Non-coding RNA,1,,,1 - ncRNA
"Wang et al., 2019",Non-coding RNA,1,1,,2 - miRNA and gene expression
"Wang et al., 2021",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Wang et al., 2023",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Wang et al., 2025",Non-coding RNA,1,1,1,"3 - miRNA, gene expression, and phenotype"
"Wang et al., 2025",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Wang et al., 2025",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Wang et al., 2026",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Wei, 2014",Non-coding RNA,1,,,1 - ncRNA
"Wu et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Xiao et al., 2022",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Xu et al., 2019",Non-coding RNA,1,,,1 - ncRNA
"Yan et al., 2024",Non-coding RNA,1,,,1 - ncRNA
"Yang et al., 2021",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Yang et al., 2023",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Yévenes et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Yin et al., 2025",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Yu et al., 2024",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Zhang et al., 2019",Non-coding RNA,1,,,1 - ncRNA
"Zhang et al., 2020",Non-coding RNA,1,,,1 - ncRNA
"Zhang et al., 2021",Non-coding RNA,1,,,1 - ncRNA
"Zhang et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Zhang et al., 2025",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Zhao et al., 2016",Non-coding RNA,1,,,1 - ncRNA
"Zhao et al., 2019",Non-coding RNA,1,,,1 - ncRNA
"Zhao et al., 2024",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Zhong et al., 2015",Non-coding RNA,1,,,1 - ncRNA 
"Zhong et al., 2023",Non-coding RNA,1,,,1 - ncRNA
"Zhou et al., 2018",Non-coding RNA,1,1,,2 - ncRNA and gene expression
"Zhou et al., 2025",Non-coding RNA,1,1,1,"3 - ncRNA, gene expression, and phenotype"
"Li et al., 2025",RNA Methylation,1,1,,2 - RNA methylation and gene expression
"Shao et al., 2024",RNA Methylation,1,1,,2 - RNA methylation and gene expression
"Si et al., 2025",RNA Methylation,1,1,,2 - RNA methylation and gene expression
"Wang et al., 2025",RNA Methylation,1,1,,2 - RNA methylation and gene expression
"Yuan et al., 2024",RNA Methylation,1,1,,2 - RNA methylation and gene expression
